Blank1,Blank2,Cab Number,Lat,Long,All counties,Fibre Services Live,Fibre Build Commenced,Fibre Services Planned,cab message
,,ABE1_001,53.484609,-6.373908,,1,,,Fibre Broadband Cabinet is planned for this location
,,ABE1_003,53.495253,-6.385818,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_004,53.522146,-6.412418,,1,,,Fibre Broadband Cabinet is planned for this location
,,ABE1_005,53.517177,-6.411168,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_006,53.509122,-6.397478,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_008,53.504165,-6.391051,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_009,53.510273,-6.395354,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_010,53.513785,-6.401256,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_012,53.512888,-6.39937,,1,,,Fibre Broadband Cabinet is planned for this location
,,ABE1_013,53.505803,-6.398478,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_014,53.518472,-6.409336,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_016,53.458179,-6.349544,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_017,53.516891,-6.406981,,1,,,Fibre Broadband Cabinet is planned for this location
,,ABE1_018,53.510222,-6.39752,,1,,,Fibre Broadband Cabinet is planned for this location
,,ABE1_019,53.514359,-6.403951,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_020,53.515594,-6.409106,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_021,53.500754,-6.388556,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_022,53.517769,-6.401704,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_023,53.517705,-6.407196,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_024,53.513625,-6.394561,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_025,53.50768,-6.387035,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_026,53.512844,-6.391122,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_028,53.514907,-6.418283,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_029,53.51442,-6.403321,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_031,53.52369,-6.411359,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_032,53.513555,-6.411432,,3,,,Fibre Broadband Cabinet is Live 
,,ABE1_036,53.508093,-6.404523,,3,,,Fibre Broadband Cabinet is Live 
